abends	in the evening
aber	but
abfahren	to depart
abholen	to pick up
abkratzen	to scrape
ablenken	to distract
abziehen	to deduct, remove
achten	to pay attention to, respect
ahnen	to suspect, guess
ähnlich	like, similar
all- / alle / alles	all, everything
allein	alone
allergisch gegen	allergic to
als	when, than, as
also	well, so, then
alt	old
an	at, on, to
ander.. (eg.ein anderer Kuli)	other
anfangen	to begin
angeben	to give, explain, indicate, state, maintain
angeln	to go fishing
angewiesen	dependent, reliant
anhalten	to stop
ankommen	to arrive
anmachen	to turn on
anprobieren	to try on
anrufen	to phone, ring up
anstatt	instead of
anstellen	to employ, take on
antworten	to answer
anzünden	to light
April	April
arbeiten	to work
arm	poor
auch	also
auf	on, at
Auf Wiedersehen	goodbye
auffordern	to ask, invite
aufgeregt	excited
aufhalten	to stop
aufmachen	to open
aufpassen	to pay attention
aufräumen	to tidy up
aufschreien	to scream, cry out
aufstehen	to get up, stand up
aufteilen	to divide
auftreten	to occur
aufwachen	to wake up
August	August
aus	out of
ausgeben	to spend (money)
ausgehen	to go out
aussehen	to look (like)
aussteigen	to get out (vehicle)
Australien	Australia
äußern	to express
babysitten	to babysit
bald	soon
basteln	to do handcraft, make sthg by hand
bauen	to build
bearbeiten	to edit
beginnen	to begin
bei	at the home of
beide	both
bekannt	well-known
bekommen	to recieve
beliebt	popular
bequem	comfortable
bereuen	to regret
berühmt	famous, popular
beschreiben	to describe
beschädigen	to damage
besonders	especially
bestellen	to order
besuchen	to visit
bevor	before
bezahlen	to pay
beziehen	to obtain
billig	cheap
bis	until
bitte	please
bitten	to ask
blau	blue
bleiben	to stay
blättern	to leaf or flick through; to scroll
blöd	stupid
böse	angry, cross
braten	to fry, roast
brauchen	to need
braun	brown
brechen	to break
brennen	to burn
bringen	to bring
bunt	brightly coloured
da (drüben)	(over) there
danke (schön)	thank you (very much)
dann	then
das	the, that
das Abendbrot	evening meal
das Auge	eye
das Ausland	abroad, overseas
das Auto	car
das Bad	bath
das Bein	leg
das Beispiel	example
das Bett	bed
das Bier	beer
