Word,Imperfectum_singularis,Imperfectum_pluralis,Hulpverbum,Participium,English
aanbieden,bood aan,boden aan,hebben,aangeboden,to offer
aandoen,deed aan,deden aan,hebben,aangedaan,to put on
aankijken,keek aan,keken aan,hebben,aangekeken,to glance at, to look at
aankleden,kleedde aan,kleedden aan,hebben,aangekleed,to dress, to get dressed
aankomen,kwam aan,kwamen aan,zijn,aangekomen,to arrive; to gain weight
aankondigen,kondigde aan,kondigden aan,hebben,aangekondigd,to announce, to notify
aannemen,nam aan,namen aan,hebben,aangenomen,to assume, to accept, to hire
aanpassen,paste aan,pasten aan,hebben,aangepast,to adjust
aansluiten,sloot aan,sloten aan,hebben,aangesloten,to join up, to connect
aantrekken,trok aan,trokken aan,hebben,aangetrokken,to attract
aanvaarden,aanvaardde,aanvaardden,hebben,aanvaard,to accept
aanvragen,vroeg aan,vroegen aan,hebben,aangevraagd,to apply, to request
aanwijzen,wees aan,wezen aan,hebben,aangewezen,to indicate, to appoint
aanzien,zag aan,zagen aan,hebben,aangezien,to sight, to look at
aarzelen,aarzelde,aarzelden,hebben,geaarzeld,to hesitate
achten,achtte,achtten,hebben,geacht,to deem, to appreciate
achterblijven,bleef achter,bleven achter,zijn,achtergebleven,to stay behind
afhangen,hing af,hingen af,hebben,afgehangen,to depend
afkomen,kwam af,kwamen af,zijn,afgekomen,to get rid of
aflopen,liep af,liepen af,zijn/hebben,afgelopen,to finish, to expire
afnemen,nam af,namen af,hebben,afgenomen,to decrease; to confiscate
afpakken,pakte af,pakten af,hebben,afgepakt,to take away, to confiscate
afsluiten,sloot af,sloten af,hebben,afgesloten,to bring to a close, to close (up)
afvegen,veegde af,veegden af,hebben,afgeveegd,to wipe off
afvragen,vroeg af,vroegen af,hebben,afgevraagd,to ask oneself
afwachten,wachtte af,wachtten af,hebben,afgewacht,to await
antwoorden,antwoordde,antwoordden,hebben,geantwoord,to answer
beantwoorden,beantwoordde,beantwoordden,hebben,beantwoord,to reply
bedanken,bedankte,bedankten,hebben,bedankt,to decline; to thank
bedenken,bedacht,bedachten,hebben,bedacht,to contemplate; to have second thoughts
bedienen,bediende,bedienden,hebben,bediend,to serve; to operate
bedoelen,bedoelde,bedoelden,hebben,bedoeld,to intend; to mean
bedragen,bedroog,bedroegen,hebben,bedragen,to amount to
beginnen,begon,begonnen,zijn,begonnen,to begin; to start
begrijpen,begreep,begrepen,hebben,begrepen,to understand; to comprehend
behandelen,behandelde,behandelden,hebben,behandeld,to treat; to handle
behouden,behield,behielden,hebben,behouden,to preserve; to conserve; to keep
bekendmaken,maakte bekend,maakten bekend,hebben,bekendgemaakt,to make something public
bekennen,bekende,bekenden,hebben,bekend,to confess
bekijken,bekeek,bekeken,hebben,bekeken,to view; to look at
beleven,beleefde,beleefden,hebben,beleefd,to live to see; to experience; to encounter
bellen,belde,belden,hebben,gebeld,to call; to make a call; to ring the doorbell
beloven,beloofde,beloofden,hebben,beloofd,to promise
beoordelen,beoordeelde,beoordeelden,hebben,beoordeeld,to judge; to evaluate
bepalen,bepaalde,bepaalden,hebben,bepaald,to determine
beperken,beperkte,beperkten,hebben,beperkt,to restrict
bereiken,bereikte,bereikten,hebben,bereikt,to achieve; to reach
beschermen,beschermde,beschermden,hebben,beschermd,to protect
bestaan,bestond,bestonden,hebben,bestaan,to exist
besteden,besteedde,besteedden,hebben,besteed,to spend
bestellen,bestelde,bestelden,hebben,besteld,to order
betalen,betaalde,betaalden,hebben,betaald,to pay
betekenen,betekende,betekenden,hebben,betekend,to mean; to signify
betreffen,betrof,betroffen,hebben,betroffen,to concern; to regard
betrekken,betrok,betrokken,hebben,betrokken,to involve, to include
bevallen,beviel,bevielen,zijn,bevallen,to give birth; to satisfy; to please
bevatten,bevatte,bevatten,hebben,bevat,to contain; to include
bevinden,bevond,bevonden,hebben,bevonden,to find oneself; to determine
bewaren,bewaarde,bewaarden,hebben,bewaard,to keep; to preserve
bewegen,bewoog,bewogen,hebben,bewogen,to move
beweren,beweerde,beweerden,hebben,beweerd,to claim; to assert
bewijzen,bewees,bewezen,hebben,bewezen,to prove
bezitten,bezat,bezaten,hebben,bezeten,to own
bezoeken,bezocht,bezochten,hebben,bezocht,to visit
bieden,bood,boden,hebben,geboden,to offer; to provide; to bid
bijdragen,droeg bij,droegen bij,hebben,bijgedragen,to contribute
binden,bond,bonden,hebben,gebonden,to bind
binnenkomen,kwam binnen,kwamen binnen,zijn,binnengekomen,come in; enter
blijken,bleek,bleken,zijn,gebleken,to turn out; to become apparent
blijven,bleef,bleven,zijn,gebleven,to stay; to keep
bouwen,bouwde,bouwden,hebben,gebouwd,to build
branden,brandde,brandden,hebben,gebrand,to burn
breken,brak,braken,hebben,gebroken,to break
brengen,bracht,brachten,hebben,gebracht,to bring
buigen,boog,bogen,hebben,gebogen,to bend
constateren,constateerde,constateerden,hebben,geconstateerd,to diagnose; to establish
controleren,controleerde,controleerden,hebben,gecontroleerd,to control
dalen,daalde,daalden,zijn,gedaald,to decline; to decrease
danken,dankte,dankten,hebben,gedankt,to thank
dansen,danste,dansten,hebben,gedanst,to dance
deelnemen,nam deel,namen deel,hebben,deelgenomen,to take part
delen,deelde,deelden,hebben,gedeeld,to share; to divide
denken,dacht,dachten,hebben,gedacht,to think
dienen,diende,dienden,hebben,gediend,to be used for
doden,doodde,doodden,hebben,gedood,to kill
doen,deed,deden,hebben,gedaan,to do
doordringen,drong door,drongen door,hebben,doorgedrongen,to get through (to); to penetrate
doorgaan,ging door,gingen door,zijn,doorgegaan,to continue; to proceed
doorlopen,liep door,liepen door,zijn,doorgelopen,to go though
draaien,draaide,draaiden,hebben,gedraaid,to revolve; to turn
dragen,droeg,droegen,hebben,gedragen,to carry; to wear
dreigen,dreigde,dreigden,hebben,gedreigd,to threaten
drieven,dreef,dreven,hebben,gedreven,to float; to compel
dringen,drong,drongen,hebben,gedrongen,to penetrate; to insist
dromen,droomde,droomden,hebben,gedroomd,to dream
drukken,drukte,drukten,hebben,gedrukt,to press
duren,duurde,duurden,hebben,geduurd,to last; to take
durven,durfde,durfden,hebben,gedurfd,to dare
dwingen,dwong,dwongen,hebben,gedwongen,to compel; to force
eindigen,eindigde,eindigden,hebben,geëindigd,to end
eisen,eiste,eisten,hebben,geëist,to demand; to request
erkennen,erkende,erkenden,hebben,erkend,to acknowledge
eruitzien,zag eruit,zagen eruit,hebben,eruitgezien,to appear; to look like
ervaren,ervoer,ervoeren,hebben,ervaren,to experience
eten,at,aten,hebben,gegeten,to eat
fluisteren,fluisterde,fluisterden,hebben,gefluisterd,to whisper
functioneren,functioneerde,functioneerden,hebben,gefunctioneerd,to function
gaan,ging,gingen,zijn,gegaan,to go
gebeuren,gebeurde,gebeurden,zijn,gebeurd,to happen
gebruiken,gebruikte,gebruikten,hebben,gebruikt,to use
gelden,gold,golden,hebben,gegolden,to be valid; to apply
geloven,geloofde,geloofden,hebben,geloofd,to believe
genieten,genoot,genoten,hebben,genoten,to enjoy
geven,gaf,gaven,hebben,gegeven,to give
glijden,gleed,gleden,zijn/hebben,gegleden,to slide; to glide
glimlachen,glimlachte,glimlachten,hebben,geglimlacht,to smile
glommen,glom,glommen,hebben,geglommed,to glow
goedkeuren,keurde goed,keurden goed,hebben,goedgekeurd,to approve; to validate
goedvinden,vond goed,vonden goed,hebben,goedgevonden,to consent; to agree
gooien,gooide,gooiden,hebben,gegooid,to pitch; to throw
grijpen,greep,grepen,hebben,gegrepen,to grip
groeien,groeide,groeiden,hebben,gegroeid,to grow
groeten,groette,groetten,hebben,gegroet,to greet
halen,haalde,haalden,hebben,gehaald,to fetch; to get; to achieve
handelen,handelde,handelden,hebben,gehandeld,to trade; to act
handhaven,handhaafde,handhaafden,hebben,gehandhaafd,to uphold; to maintain
hangen,hing,hingen,hebben,gehangen,to hang
hebben,had,hadden,hebben,gehad,to have
heersen,heerste,heersten,hebben,geheerst,to rule
helpen,hielp,hielpen,hebben,geholpen,to help
herhalen,herhaalde,herhaalden,hebben,herhaald,to repeat
herinneren,herinnerde,herinnerden,hebben,herinnerd,to remind; to remember
herkennen,herkende,herkenden,hebben,herkend,to recognize
herstellen,herstelde,herstelden,hebben,hersteld,to recover
heten,heette,heetten,hebben,geheten,to be named
hoeven,hoefde,hoefden,hebben,gehoefd/gehoeven,to not have to
hopen,hoopte,hoopten,hebben,gehoopt,to hope
horen,hoorde,hoorden,hebben,gehoord,to hear
houden,hield,hielden,hebben,gehouden,to hold
huilen,huilde,huilden,hebben,gehuild,to cry
huren,huurde,huurden,hebben,gehuurd,to rent
ingaan,ging in,gingen in,zijn,ingegaan,to go in effect; to start
inhouden,hield in,hielden in,hebben,ingehouden,to mean; to imply; to contain; to restrain
innemen,nam in,namen in,hebben,ingenomen,to ingest; to take; to take space
instappen,stapte in,stapten in,zijn,ingestapt,to board; to hop on
instellen,stelde in,stelden in,hebben,ingesteld,to set; to configure
interesseren,interesseerde,interesseerden,hebben,geïnteresseerd,to raise interest
invoeren,voerde in,voerden in,hebben,ingevoerd,to import; to introduce
inzien,zag in,zagen in,hebben,ingezien,to look into; to realize
kennen,kende,kenden,hebben,gekend,to be familiar with; to know
kennismaken,maakte kennis,maakten kennis,hebben,kennisgemaakt,to make acquaintance
keren,keerde,keerden,hebben,gekeerd,to turn
kiezen,koos,kozen,hebben,gekozen,to choose
kijken,keek,keken,hebben,gekeken,to look; to watch
klagen,klaagde,klaagden,hebben,geklaagd,to complain
klimmen,klom,klommen,zijn/hebben,geklommen,to climb
klinken,klonk,klonken,hebben,geklonken,to sound
kloppen,klopte,klopten,hebben,geklopt,to knock
koken,kookte,kookten,hebben,gekookt,to cook; to boil
komen,kwam,kwamen,zijn,gekomen,to come
kopen,kocht,kochten,hebben,gekocht,to buy
kosten,kostte,kostten,hebben,gekost,to cost
krijgen,kreeg,kregen,hebben,gekregen,to get
kruipen,kroop,kropen,zijn/hebben,gekropen,to crawl
kunnen,kon,konden,hebben,gekund,to can
