word,word_en,tag,phrase_fr,phrase_en
le,"pro the; him, her, it, them","det,"," vive la politique, vive l'amour "," long live politics, long live love "
de,"prep of, from, some, any","det,", il ne rêve que d'argent et de plaisirs , he only dreams of money and pleasure 
un,"det, nm, pro a, an, one","adj,", je me suis cassé un ongle , I broke one of my fingernails 
à,"to, at, in",prep, ils restent à l'école le plus longtemps possible , they remain at school as long as possible 
être,to be; being,"nm,v", tout le monde veut être beau , everybody wants to be beautiful 
et,and,conj, et les larmes se remirent à couler , and the tears started flowing again 
en,"in, by","adv,prep,pro", je suis retournée en Espagne en septembre , I returned to Spain in September 
avoir,to have,"nm,v", on était six donc tu peux pas avoir une conversation , there were six of us so you can't have a conversation
que,"that, which, who, whom","adv,conj,pro", c'est un soldat. mais que fait-il ici? , it's a soldier. but what's he doing here? 
pour,"for, in order to",prep, elle jouait pour gagner , she played to win 
dans,"in, into, from",prep, je reviendrai dans dix minutes , I will return in 10 minutes 
ce,"this, that","det,pro", je ne déteste pas cet homme , I do not detest this man 
il,"he, it",pro, allez voir s'il est blessé , go see if he is injured 
qui,"who, whom",pro, je ne sais pas à qui m'adresser , I don't know who to talk to 
ne,not,adv, nous ne faisons pas du très bon travail , we are not doing very good work 
sur,"on, upon","adj,prep", t'avais une chance sur un million , you had one chance in a million 
se,"oneself, himself, herself, itself, themselves",pro," avec ce traité, le Japon se rapproche des Etats-Unis "," with this treaty, Japan brings itself closer to the U.S."
pas,"not, n't; footstep","adv,nm(pl)"," non, ne touchez pas! "," no, don't touch it! "
plus,"more, no more",adv, il est considérablement plus jeune que moi , he's considerably younger than I am 
pouvoir,"can, to be able to","nm,v", tu peux jouer de la guitare électrique , you can play electric guitar 
par,by,prep, il s'y trouvait par hasard , he found himself there by accident 
je,I,pro, je suis contente de vous revoir , I am happy to see you again 
avec,with,prep, vous voulez aller au ciné avec moi? , do you want to go to a movie with me? 
tout,"all, very","adv,det,nadj,pro"," comme vous voyez, tout est propre "," as you see, everything is clean "
faire,"to do, make","nm,v", qu'est-ce qu'il fait? , what's he doing? 
son,"his, her, its; sound; bran","det,nm", un ami ingénieur du son m'aide pour les arrangements , a sound engineer friend of mine helped me with the arrangements
mettre,"to put, place",v, je peux me mettre à votre table? , may I sit at your table? 
autre,other,"det,nadj(f),pro", il y a un autre problème , there's another problem 
on,"one, we",pro, on tire et on pose les questions ensuite , we shoot first and ask questions later 
